titre,console,note_testeur,nom_testeur,statut_testeur,year,date_test,note_lecteur,nombre_testeur,url
Destiny 2,,16,scie-le-vin,Administrateur jeuxvideo.com,2020,21 décembre 2020 à 18:21:00,7.3,18,https://jeuxvideo.com/test/1319982/destiny-2-au-dela-de-la-lumiere-une-extension-convenue-aux-decors-inoubliables.htm
Cobra Kai,,12,dimipro96,Utilisateur jeuxvideo.com,2020,18 décembre 2020 à 20:00:00,,,https://jeuxvideo.com/test/1312916/cobra-kai-merci-ou-no-mercy.htm
Destiny 2,,13,scie-le-vin,Administrateur jeuxvideo.com,2020,18 décembre 2020 à 07:00:00,0,2,https://jeuxvideo.com/test/1342854/destiny-2-la-saison-de-la-traque-repetitif-mais-riche-en-lore.htm
Destiny 2,,16,scie-le-vin,Administrateur jeuxvideo.com,2020,17 décembre 2020 à 07:00:00,12,1,https://jeuxvideo.com/test/1342449/destiny-2-au-dela-de-la-lumiere-des-versions-ps5-et-xbox-series-impressionnantes.htm
League of Legends,,18,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,14 décembre 2020 à 17:08:14,16.6,7,https://jeuxvideo.com/test/1340722/league-of-legends-wild-rift-la-faille-dans-la-poche.htm
Shady Part of Me,PC,14,Silent_Jay,Journaliste jeuxvideo.com,2020,12 décembre 2020 à 20:00:30,18,4,https://jeuxvideo.com/test/1337382/shady-part-of-me-une-fable-emouvante-et-enigmatique.htm
Whispers of a Machine,,15,johnson007,Utilisateur jeuxvideo.com,2020,12 décembre 2020 à 19:00:00,16,2,https://jeuxvideo.com/test/1335981/whispers-of-a-machine-le-point-click-a-l-ancienne.htm
WRC 9,,15,Izokay,Rédaction jeuxvideo.com,2020,12 décembre 2020 à 13:53:36,10,3,https://jeuxvideo.com/test/1339887/wrc-9-une-version-next-gen-sous-le-signe-de-la-dualsense.htm
Cyberpunk 2077,,11,[87],Journaliste jeuxvideo.com,2020,11 décembre 2020 à 18:55:05,6.4,485,https://jeuxvideo.com/test/1339983/cyberpunk-2077-des-versions-ps4-pro-et-xbox-one-x-passables.htm
Medal of Honor,PC,15,Jiikaa,Journaliste jeuxvideo.com,2020,11 décembre 2020 à 09:15:00,15.7,3,https://jeuxvideo.com/test/1337890/medal-of-honor-above-beyond-retour-aux-sources-mais-en-realite-virtuelle.htm
Cyberpunk 2077 réalisé en 2020,,07,[87],Journaliste jeuxvideo.com,2020,10 décembre 2020 à 19:53:55,6.4,485,https://jeuxvideo.com/test/1338246/cyberpunk-2077-des-versions-ps4-et-xbox-one-fat-a-eviter-a-tout-prix.htm
Doom Eternal,Switch,16,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,10 décembre 2020 à 16:06:06,15,2,https://jeuxvideo.com/test/1338249/doom-eternal-une-version-switch-qui-fait-le-job.htm
Puyo Puyo Tetris 2,,17,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,09 décembre 2020 à 18:27:44,18,1,https://jeuxvideo.com/test/1337808/puyo-puyo-tetris-2-le-puzzle-game-competitif-ultime.htm
Worms Rumble,,14,Ayden_,Journaliste jeuxvideo.com,2020,08 décembre 2020 à 14:06:26,12.5,6,https://jeuxvideo.com/test/1336265/worms-rumble-un-battle-royale-qui-depote-mais-au-contenu-un-peu-faible.htm
Call of the Sea,,13,Indee,Journaliste jeuxvideo.com,2020,08 décembre 2020 à 09:42:52,15.5,36,https://jeuxvideo.com/test/1335341/call-of-the-sea-un-air-de-firewatch-avec-des-enigmes-l-etincelle-en-moins.htm
Cyberpunk 2077,PC,17,[87],Journaliste jeuxvideo.com,2020,07 décembre 2020 à 18:00:45,13.2,671,https://jeuxvideo.com/test/1336241/cyberpunk-2077-la-nouvelle-pierre-angulaire-du-rpg-que-l-on-attendait.htm
FIFA 21,,14,Izokay,Rédaction jeuxvideo.com,2020,06 décembre 2020 à 11:34:54,3.4,11,https://jeuxvideo.com/test/1335653/fifa-21-simple-lifting-sur-next-gen.htm
Dragon Quest 11 S,,16,Ayden_,Journaliste jeuxvideo.com,2020,04 décembre 2020 à 16:22:34,16.6,54,https://jeuxvideo.com/test/1335031/dragon-quest-xi-s-edition-ultime-une-version-riche-en-contenus.htm
Fire Emblem,surugi Switch,15,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,04 décembre 2020 à 09:32:57,13.7,3,https://jeuxvideo.com/test/1334706/fire-emblem-shadow-dragon-the-blade-of-light-le-premier-fe-de-retour-sur-switch.htm
Haven,,15,K-miye,Journaliste jeuxvideo.com,2020,03 décembre 2020 à 15:00:02,13.5,4,https://jeuxvideo.com/test/1330032/haven-une-exploration-tout-en-douceur.htm
The Pathless,,15,JeromeJoffard,Rédaction jeuxvideo.com,2020,03 décembre 2020 à 14:37:16,20,1,https://jeuxvideo.com/test/1333665/the-pathless-une-aventure-aussi-merveilleuse-que-repetitive.htm
World of Warcraft,,16,la_redaction,Utilisateur jeuxvideo.com,2020,03 décembre 2020 à 13:43:55,12.4,45,https://jeuxvideo.com/test/1332764/test-de-world-of-warcraft-shadowlands.htm
Fitness Boxing 2,Switch,15,midnailah,Rédaction jeuxvideo.com,2020,02 décembre 2020 à 16:00:01,,,https://jeuxvideo.com/test/1326617/fitness-boxing-2-rhythm-and-exercise-sueur-et-douleur-au-programme.htm
